ID,site,region,zone,rank.abund,rank.biom,ufn,latitude,longitude,time.adj,meantemp,meansal,meansecchi,fork_length,z.abundance,z.biomass
D08_3,D08,DI,E,1,1,U4764,50.31954,-125.04247,383,16.75,19.25,11.5,106,1688.89,205.0150939
D08_4,D08,DI,E,1,1,U4765,50.31954,-125.04247,383,16.75,19.25,11.5,113,1688.89,205.0150939
D08_5,D08,DI,E,1,1,U4766,50.31954,-125.04247,383,16.75,19.25,11.5,97,1688.89,205.0150939
D08_6,D08,DI,E,3,NA,U4767,50.31954,-125.04247,383,16.75,19.25,11.5,105,1688.89,205.0150939
D08_7,D08,DI,E,1,1,U4768,50.31954,-125.04247,383,16.75,19.25,11.5,107,1688.89,205.0150939
D08_8,D08,DI,E,1,NA,U4769,50.31954,-125.04247,383,16.75,19.25,11.5,111,1688.89,205.0150939
D08_9,D08,DI,E,1,NA,U4770,50.31954,-125.04247,383,16.75,19.25,11.5,113,1688.89,205.0150939
D09_11,D09,DI,C,1,1,U818,50.30787,-125.3293,659,11.8,28.4,13.3,115,567.42,46.81501966
D09_12,D09,DI,C,1,1,U759,50.30787,-125.3293,659,11.8,28.4,13.3,129,567.42,46.81501966
D09_13,D09,DI,C,4,NA,U824,50.30787,-125.3293,659,11.8,28.4,13.3,123,567.42,46.81501966
D09_14,D09,DI,C,1,1,U833,50.30787,-125.3293,659,11.8,28.4,13.3,115,567.42,46.81501966
D09_15,D09,DI,C,1,1,U817,50.30787,-125.3293,659,11.8,28.4,13.3,115,567.42,46.81501966
D09_16,D09,DI,C,1,1,U834,50.30787,-125.3293,659,11.8,28.4,13.3,116,567.42,46.81501966
D09_17,D09,DI,C,1,1,U820,50.30787,-125.3293,659,11.8,28.4,13.3,114,567.42,46.81501966
D09_18,D09,DI,C,1,1,U760,50.30787,-125.3293,659,11.8,28.4,13.3,110,567.42,46.81501966
D09_19,D09,DI,C,1,1,U819,50.30787,-125.3293,659,11.8,28.4,13.3,109,567.42,46.81501966
D09_20,D09,DI,C,1,1,U832,50.30787,-125.3293,659,11.8,28.4,13.3,125,567.42,46.81501966
D10_12,D10,DI,E,2,2,U1005,50.44365,-125.279,420,10.65,28.4,13.2,105,2158.78,319.3415721
D10_13,D10,DI,E,2,2,U1014,50.44365,-125.279,420,10.65,28.4,13.2,NA,2158.78,319.3415721
D10_14,D10,DI,E,2,2,U1006,50.44365,-125.279,420,10.65,28.4,13.2,101,2158.78,319.3415721
D10_15,D10,DI,E,NA,NA,U1007,50.44365,-125.279,420,10.65,28.4,13.2,105,2158.78,319.3415721
D10_16,D10,DI,E,2,2,U1000,50.44365,-125.279,420,10.65,28.4,13.2,97,2158.78,319.3415721
D10_17,D10,DI,E,2,2,U1013,50.44365,-125.279,420,10.65,28.4,13.2,120,2158.78,319.3415721
D10_18,D10,DI,E,2,2,U947,50.44365,-125.279,420,10.65,28.4,13.2,118,2158.78,319.3415721
D10_19,D10,DI,E,NA,NA,U1021,50.44365,-125.279,420,10.65,28.4,13.2,121,2158.78,319.3415721
D10_20,D10,DI,E,2,2,U948,50.44365,-125.279,420,10.65,28.4,13.2,123,2158.78,319.3415721
D10_21,D10,DI,E,2,2,U949,50.44365,-125.279,420,10.65,28.4,13.2,104,2158.78,319.3415721
D10_22,D10,DI,E,2,2,U999,50.44365,-125.279,420,10.65,28.4,13.2,100,2158.78,319.3415721
D11_8,D11,DI,W,1,1,U502,50.34851,-125.44831,572,11,28.95,12.6,115,2027.92,257.5584704
D11_11,D11,DI,W,1,1,U488,50.34851,-125.44831,572,11,28.95,12.6,109,2027.92,257.5584704
D11_12,D11,DI,W,1,1,U498,50.34851,-125.44831,572,11,28.95,12.6,104,2027.92,257.5584704
D11_13,D11,DI,W,1,1,U489,50.34851,-125.44831,572,11,28.95,12.6,91,2027.92,257.5584704
D11_14,D11,DI,W,1,1,U500,50.34851,-125.44831,572,11,28.95,12.6,110,2027.92,257.5584704
D11_15,D11,DI,W,1,1,U490,50.34851,-125.44831,572,11,28.95,12.6,93,2027.92,257.5584704
D11_16,D11,DI,W,1,1,U511,50.34851,-125.44831,572,11,28.95,12.6,99,2027.92,257.5584704
D11_17,D11,DI,W,1,1,U512,50.34851,-125.44831,572,11,28.95,12.6,98,2027.92,257.5584704
D11_18,D11,DI,W,1,1,U487,50.34851,-125.44831,572,11,28.95,12.6,121,2027.92,257.5584704
D11_19,D11,DI,W,1,1,U501,50.34851,-125.44831,572,11,28.95,12.6,96,2027.92,257.5584704
J02_19,J02,JS,N,2,2,U1291,50.602597,-126.701995,420,9.5,29.1,9.1,104,1252.01,166.8765742
J02_20,J02,JS,N,2,3,U1240,50.602597,-126.701995,420,9.5,29.1,9.1,117,1252.01,166.8765742
J02_21,J02,JS,N,2,3,U1269,50.602597,-126.701995,420,9.5,29.1,9.1,103,1252.01,166.8765742
J02_22,J02,JS,N,2,3,U1277,50.602597,-126.701995,420,9.5,29.1,9.1,118,1252.01,166.8765742
J02_23,J02,JS,N,2,3,U1279,50.602597,-126.701995,420,9.5,29.1,9.1,101,1252.01,166.8765742
J02_24,J02,JS,N,2,3,U1239,50.602597,-126.701995,420,9.5,29.1,9.1,111,1252.01,166.8765742
J02_27,J02,JS,N,2,3,U1278,50.602597,-126.701995,420,9.5,29.1,9.1,99,1252.01,166.8765742
J02_28,J02,JS,N,2,3,U1280,50.602597,-126.701995,420,9.5,29.1,9.1,114,1252.01,166.8765742
J02_29,J02,JS,N,2,3,U1268,50.602597,-126.701995,420,9.5,29.1,9.1,110,1252.01,166.8765742
J02_30,J02,JS,N,2,3,U1287,50.602597,-126.701995,420,9.5,29.1,9.1,113,1252.01,166.8765742
J04_1,J04,JS,N,2,3,U1256,50.526797,-126.386767,365,9.95,28.75,13.2,112,735.91,143.4879532
J04_3,J04,JS,N,2,3,U1262,50.526797,-126.386767,365,9.95,28.75,13.2,110,735.91,143.4879532
J04_5,J04,JS,N,2,3,U1246,50.526797,-126.386767,365,9.95,28.75,13.2,106,735.91,143.4879532
J04_7,J04,JS,N,2,2,U1257,50.526797,-126.386767,365,9.95,28.75,13.2,112,735.91,143.4879532
J04_8,J04,JS,N,2,3,U1261,50.526797,-126.386767,365,9.95,28.75,13.2,115,735.91,143.4879532
J04_10,J04,JS,N,2,2,U1228,50.526797,-126.386767,365,9.95,28.75,13.2,107,735.91,143.4879532
J04_11,J04,JS,N,2,2,U1245,50.526797,-126.386767,365,9.95,28.75,13.2,108,735.91,143.4879532
J04_12,J04,JS,N,2,3,U1244,50.526797,-126.386767,365,9.95,28.75,13.2,108,735.91,143.4879532
J04_13,J04,JS,N,2,2,U1229,50.526797,-126.386767,365,9.95,28.75,13.2,115,735.91,143.4879532
J04_14,J04,JS,N,2,2,U1230,50.526797,-126.386767,365,9.95,28.75,13.2,114,735.91,143.4879532
J06_16,J06,JS,N,2,3,U991,50.477961,-126.027901,305,9.85,28.55,12.2,113,721.12,106.3865883
J06_17,J06,JS,N,2,3,U945,50.477961,-126.027901,305,9.85,28.55,12.2,123,721.12,106.3865883
J06_19,J06,JS,N,2,3,U983,50.477961,-126.027901,305,9.85,28.55,12.2,105,721.12,106.3865883
J06_20,J06,JS,N,2,3,U944,50.477961,-126.027901,305,9.85,28.55,12.2,111,721.12,106.3865883
J06_22,J06,JS,N,2,3,U969,50.477961,-126.027901,305,9.85,28.55,12.2,105,721.12,106.3865883
J06_23,J06,JS,N,2,3,U957,50.477961,-126.027901,305,9.85,28.55,12.2,123,721.12,106.3865883
J06_24,J06,JS,N,2,3,U956,50.477961,-126.027901,305,9.85,28.55,12.2,98,721.12,106.3865883
J06_25,J06,JS,N,2,3,U984,50.477961,-126.027901,305,9.85,28.55,12.2,111,721.12,106.3865883
J06_29,J06,JS,N,2,3,U970,50.477961,-126.027901,305,9.85,28.55,12.2,107,721.12,106.3865883
J06_30,J06,JS,N,2,3,U982,50.477961,-126.027901,305,9.85,28.55,12.2,115,721.12,106.3865883
J07_1,J07,JS,S,2,3,U855,50.45747,-126.16879,380,9.95,28.7,13.6,115,910.2,83.94083501
J07_3,J07,JS,S,2,3,U934,50.45747,-126.16879,380,9.95,28.7,13.6,117,910.2,83.94083501
J07_4,J07,JS,S,2,3,U931,50.45747,-126.16879,380,9.95,28.7,13.6,121,910.2,83.94083501
J07_5,J07,JS,S,2,3,U933,50.45747,-126.16879,380,9.95,28.7,13.6,118,910.2,83.94083501
J07_6,J07,JS,S,2,3,U879,50.45747,-126.16879,380,9.95,28.7,13.6,101,910.2,83.94083501
J07_7,J07,JS,S,2,3,U878,50.45747,-126.16879,380,9.95,28.7,13.6,103,910.2,83.94083501
J07_8,J07,JS,S,2,3,U917,50.45747,-126.16879,380,9.95,28.7,13.6,113,910.2,83.94083501
J07_9,J07,JS,S,2,3,U935,50.45747,-126.16879,380,9.95,28.7,13.6,119,910.2,83.94083501
J07_10,J07,JS,S,2,3,U916,50.45747,-126.16879,380,9.95,28.7,13.6,108,910.2,83.94083501
J07_14,J07,JS,S,2,3,U932,50.45747,-126.16879,380,9.95,28.7,13.6,132,910.2,83.94083501
J07_15,J07,JS,S,2,3,U854,50.45747,-126.16879,380,9.95,28.7,13.6,113,910.2,83.94083501
J08_1,J08,JS,S,2,2,U1314,50.480477,-126.413345,660,10.75,28.5,11.8,94,2683.68,244.4428429
J08_2,J08,JS,S,2,2,U1321,50.480477,-126.413345,660,10.75,28.5,11.8,118,2683.68,244.4428429
J08_3,J08,JS,S,2,2,U1304,50.480477,-126.413345,660,10.75,28.5,11.8,116,2683.68,244.4428429
J08_4,J08,JS,S,2,2,U1293,50.480477,-126.413345,660,10.75,28.5,11.8,119,2683.68,244.4428429
J08_6,J08,JS,S,2,2,U1289,50.480477,-126.413345,660,10.75,28.5,11.8,101,2683.68,244.4428429
J08_7,J08,JS,S,2,2,U1305,50.480477,-126.413345,660,10.75,28.5,11.8,109,2683.68,244.4428429
J08_8,J08,JS,S,2,2,U1290,50.480477,-126.413345,660,10.75,28.5,11.8,95,2683.68,244.4428429
J08_10,J08,JS,S,2,2,U1322,50.480477,-126.413345,660,10.75,28.5,11.8,98,2683.68,244.4428429
J08_11,J08,JS,S,2,2,U1306,50.480477,-126.413345,660,10.75,28.5,11.8,110,2683.68,244.4428429
J08_12,J08,JS,S,2,2,U1323,50.480477,-126.413345,660,10.75,28.5,11.8,113,2683.68,244.4428429
J09_1,J09,JS,S,2,3,U1044,50.539784,-126.782313,875,11.65,28.7,13.9,111,2680.38,903.5341032
J09_2,J09,JS,S,2,3,U1024,50.539784,-126.782313,875,11.65,28.7,13.9,110,2680.38,903.5341032
J09_3,J09,JS,S,2,3,U1026,50.539784,-126.782313,875,11.65,28.7,13.9,102,2680.38,903.5341032
J09_5,J09,JS,S,2,3,U1043,50.539784,-126.782313,875,11.65,28.7,13.9,100,2680.38,903.5341032
J09_9,J09,JS,S,2,3,U1042,50.539784,-126.782313,875,11.65,28.7,13.9,106,2680.38,903.5341032
J09_10,J09,JS,S,2,3,U1025,50.539784,-126.782313,875,11.65,28.7,13.9,110,2680.38,903.5341032
J09_11,J09,JS,S,2,3,U1020,50.539784,-126.782313,875,11.65,28.7,13.9,121,2680.38,903.5341032
J09_12,J09,JS,S,2,2,U1019,50.539784,-126.782313,875,11.65,28.7,13.9,96,2680.38,903.5341032
J09_13,J09,JS,S,2,3,U1023,50.539784,-126.782313,875,11.65,28.7,13.9,106,2680.38,903.5341032
J09_14,J09,JS,S,2,3,U1018,50.539784,-126.782313,875,11.65,28.7,13.9,102,2680.38,903.5341032
J09_15,J09,JS,S,2,3,U1027,50.539784,-126.782313,875,11.65,28.7,13.9,116,2680.38,903.5341032
